"Club ID", "Runner", "Distance", "Runs"
"229749","Jun Z.","60.4593983","9"
"438046","Guodong P.","52.940809200000004","4"
"229749","jiangtao l.","51.7602043","8"
"155681","Yong J.","47.7834299","9"
"229749","Peng Z.","45.1736717","5"
"229749","Junfeng Z.","44.4280265","4"
"484248","沛源 陈.","37.6550826","7"
"155681","Bryan H.","36.3502035","3"
"484248","Chun Y.","36.3502035","4"
"523430","Stephen G.","34.3618163","3"
"229749","Chang L.","33.8647195","4"
"229749","Weihua C.","33.8025824","4"
"155681","James C.","33.1190743","5"
"155681","SK M.","31.3792355","4"
"229749","Pengxiang Y.","31.130687100000003","5"
"155681","Luka噜 Q.","28.0859692","5"
"523430","Qingmei B.","27.961695","7"
"229749","Haiguang C.","27.4645982","3"
"484248","Min P.","26.9053643","2"
"229749","Wei Y.","26.7810901","4"
"155681","Weigang L.","26.718953","4"
"229749","劲松 彭.","25.6004852","4"
"155681","YJ H.","25.5383481","3"
"229749","Shouhun  S.","25.1033884","3"
"155681","Sunny Y.","24.109194799999997","3"
"155681","Lufeng Z.","23.9227835","6"
"484248","h w.","23.7985093","3"
"155681","Bill L.","23.6742351","7"
"155681","Gowa B.","23.612098","7"
"155681","Xinji L.","22.866452799999998","4"
"484248","Zuo Z.","22.6800415","4"
"155681","Diana W.","22.3072189","4"
"438046","Ling H.","22.120807600000003","3"
"523430","Wei J.","21.9965334","3"
"438046","xiaomei c.","21.5615737","4"
"484248","Yuhua G.","21.250888200000002","2"
"229749","Song W.","21.1887511","2"
"229749","Haiyong L.","21.126614","3"
"229749","Wei H.","21.0644769","2"
"484248","Joey Z.","20.5673801","3"
"484248","楠 安.","20.380968799999998","3"
"438046","kai w.","20.3188317","3"
"155681","Dai G.","19.3867752","4"
"229749","Hongzhe L.","19.0760897","3"
"523430","Wayne H.","19.0760897","2"
"155681","Aiming H.","18.5789929","4"
"229749","Ivy X M.","18.5789929","3"
"438046","Shuqin L.","18.516855800000002","4"
"484248","Henry F.","18.4547187","4"
"229749","Chang-Hong Y.","18.3925816","4"
