"Club ID", "Runner", "Distance", "Runs"
"234023","Jun Y.","116.0099657","19"
"234023","Shizhong Y.","102.0291182","12"
"234023","Xianrong  W.","97.6795212","8"
"234023","Yimei H.","90.03665790000001","8"
"236304","Henry (He) H.","76.2422217","9"
"234023","Guanyu W.","74.00528609999999","7"
"234023","Kun S.","72.2654473","8"
"234023","Jing Z.","70.4634714","8"
"234023","chunhua l.","68.0401245","7"
"234023","Yueping X.","67.6673019","10"
"234023","Enyang H.","66.6731083","9"
"234023","Xianbao H.","65.61677759999999","7"
"479503","Nadia L.","65.1818179","15"
"234023","Lance P.","64.4361727","6"
"234023","Melissa Q.","62.509922599999996","15"
"234023","Qing D.","61.515729","6"
"234023","James N.","58.7195595","6"
"236304","Meng S.","57.9117772","6"
"236304","Y S.","56.606898099999995","6"
"234023","Lanshan c.","56.1098013","9"
"234023","Fan W.","55.4884303","6"
"197462","Zunxuan Digger C.","55.302019","5"
"236304","Chunxin W.","54.183551200000004","7"
"234023","Connie C.","53.9350028","5"
"236304","Haifeng Q.","53.5000431","6"
"234023","Wentao L.","53.5000431","6"
"236304","Scarlet  Z.","53.065083400000006","6"
"234023","Fucheng R.","52.5679866","16"
"234023","探 梅.","52.4437124","6"
"234023","Pei L.","52.070889799999996","7"
"236304","Tong Y.","51.1388333","6"
"197462","Yanxia G.","51.1388333","7"
"236304","Sheldon F.","49.70968","6"
"234023","Mei L.","48.7154864","5"
"234023","Lixin (Simon) G.","48.404800900000005","5"
"234023","Zuo Z.","47.7834299","7"
"479503","Lei W.","47.410607299999995","17"
"234023","Xiali H.","47.410607299999995","5"
"234023","Jasmine L.","47.3484702","5"
"234023","Liewei B.","47.162058900000005","5"
"234023","SHIHUI Y.","47.0999218","10"
"234023","Haiyan X.","47.0377847","5"
"234023","Jubao Z.","45.919316900000005","5"
"197462","JiaLin C.","45.0493975","5"
"234023","Yanling Z.","44.3037523","5"
"236304","Shen X.","44.117341","5"
"197462","Jenny Z.","44.0552039","16"
"236304","Annie C.","43.558107099999994","4"
"236304","Qingfeng H.","43.309558700000004","4"
"236304","John L.","43.1852845","5"
