"Club ID", "Runner", "Distance", "Runs"
"464836","Jun Z.","81.89669780000001","14"
"452045","Feng Q.","76.3664959","6"
"299365","Kebiao Y.","61.2050435","5"
"157594","Sophia L.","59.9001644","7"
"464836","Luchi C.","56.358349700000005","9"
"157594","Guanyu W.","53.99713990000001","8"
"157594","Mei C.","52.3194382","7"
"452045","Howard G.","51.635930099999996","5"
"464836","jessica Z.","51.573793","6"
"464836","King R.","50.0825026","6"
"157594","Deling R.","49.7718171","5"
"157594","Junfeng Z.","49.088309","5"
"452045","Junyi Z.","48.218389599999995","6"
"157594","Jingyang Z.","47.224196","5"
"452045","Sherry s.","46.0435911","5"
"452045","Julia Z.","45.1736717","6"
"464836","Kevin T.","43.8687926","8"
"464836","Rocky L.","43.744518400000004","6"
"299365","andy m.","43.744518400000004","6"
"299365","Huibin Z.","42.191090900000006","5"
"452045","Julie Q.","41.631857000000004","6"
"464836","Tina W.","41.072623099999994","7"
"452045","Yue M.","40.6376634","4"
"452045","NAIDONG W.","40.4512521","6"
"299365","Yongcong D.","40.2648408","4"
"157594","Li Z.","39.9541553","5"
"464836","frank l.","39.8920182","9"
"299365","Kan M.","39.5191956","5"
"157594","Ying N.","38.525002","6"
"452045","Janphy S.","38.4628649","5"
"464836","Griffin L.","38.2143165","6"
"452045","Zuo Z.","37.903631","11"
"464836","Cathy W.","36.660889","7"
"157594","Mei X.","35.6666954","4"
"157594","Michelle M.","35.4802841","3"
"452045","Hong J.","34.9210502","5"
"464836","Yi X.","34.9210502","6"
"464836","Jim X.","34.6725018","6"
"464836","Cindy W.","34.4860905","6"
"157594","David L.","34.2996792","5"
"157594","Bob M.","33.8025824","4"
"464836","Jie Z.","33.7404453","9"
"464836","jinglin f.","33.678308200000004","7"
"464836","Bill M.","33.1812114","6"
"464836","JANE-枫叶红 L.","32.9948001","7"
"157594","Ivy T.","32.808388799999996","7"
"157594","May L.","32.7462517","5"
"464836","juanjuan l.","32.6219775","6"
"157594","Guangzhen X.","32.3734291","5"
"157594","Hao Z.","32.311292","3"
