"Club ID", "Runner", "Distance", "Runs"
"187897","Jun Z.","83.26371400000001","12"
"481356","Svenja E.","75.4344394","3"
"330129","Jianping Z.","71.6440763","5"
"481356","Flying E.","68.2265358","9"
"330129","lLuogang W.","61.9506887","9"
"187897","Jay C.","60.3972612","6"
"330129","王功翠 J.","56.6690352","8"
"330129","Howard G.","56.48262390000001","5"
"481356","Tina Y.","56.1098013","9"
"330129","Daniel W.","55.9855271","6"
"330129","Long-Long G.","55.92339","9"
"330129","Li P.","55.364156099999995","10"
"187897","Yi W.","52.6922608","3"
"187897","Jihao S.","52.195164","7"
"187897","JL w.","51.698067200000004","6"
"481356","Nathan L.","50.1446397","7"
"481356","Simon O.","50.1446397","8"
"330129","JiaLin C.","49.461131599999995","7"
"516025","Amos L.","48.5912122","13"
"330129","Zheng B.","48.5912122","9"
"481356","Sandra H.","47.845567","4"
"516025","Jerry S.","47.6591557","7"
"187897","Donna L.","45.981454","5"
"330129","Keyu W.","45.60863140000001","5"
"516025","Xiaolin D.","45.60863140000001","8"
"330129","Jenny Z.","45.2358088","6"
"187897","Victor G.","44.8629862","4"
"481356","John B.","44.3037523","5"
"187897","Edison S.","44.241615200000005","5"
"330129","Rong J.","44.1794781","6"
"516025","Frank L.","43.558107099999994","9"
"330129","Jun J.","43.558107099999994","7"
"330129","Larry W.","43.247421599999996","6"
"330129","Sherry s.","42.998873200000006","6"
"187897","Roger N.","42.9367361","4"
"481356","Dhanabalan T.","42.8124619","4"
"330129","Xinkai K.","42.191090900000006","5"
"516025","Jiang S.","41.7561312","10"
"330129","NAIDONG W.","41.7561312","8"
"187897","David D.","41.072623099999994","7"
"516025","Patrick W.","41.010486","4"
"187897","David J.","40.0784295","5"
"481356","Ron  B.","39.581332700000004","4"
"481356","Donna M.","39.3949214","8"
"187897","John Z.","39.3327843","5"
"330129","Zheng P.","39.2085101","5"
"481356","Haisheng L.","38.7114133","8"
"330129","Ximin L.","38.2764536","5"
"187897","Thomas F.","38.1521794","6"
"187897","Sophie X.","38.0900423","7"
