"Club ID", "Runner", "Distance", "Runs"
"155681","Yong J.","126.8839582","33"
"155681","Jack L.","123.52855480000001","14"
"327007","Samantha W.","93.827021","16"
"155681","Henry W.","89.7259724","22"
"155681","Pinghai H.","85.1899641","7"
"128445","Yu H.","84.2579076","10"
"128445","Sophia L.","80.7160929","10"
"155681","Bill L.","76.6150443","7"
"155681","飞猪 西.","72.3275844","8"
"327007","Jun L.","70.836294","6"
"327007","Jian Z.","68.4129471","7"
"128445","lance J.","67.29447929999999","8"
"128445","Jingyang Z.","65.0575437","6"
"155681","Dai G.","64.4983098","9"
"128445","Bruin1996 R.","64.1876243","20"
"128445","Qi S.","64.1876243","5"
"155681","Eric W.","63.4419791","6"
"128445","Aibing Z.","63.3177049","7"
"128445","Bing W.","63.1312936","5"
"155681","Qiang M.","62.820608099999994","7"
"128445","Jay H.","62.758471","6"
"128445","Xiaomei  Y.","62.509922599999996","12"
"327007","Jian S.","62.3856484","6"
"155681","Weigang L.","62.1992371","9"
"128445","Changzhong (Daniel) T.","62.0128258","6"
"128445","Jing🔹动动 🐚.","61.267180599999996","8"
"128445","John X.","60.8322209","6"
"128445","Yousong X.","60.7700838","7"
"155681","SK M.","60.3972612","7"
"128445","Eric Z.","60.1487128","10"
"128445","Xinyu M.","59.9623015","6"
"128445","蓉湘 🏃.","59.030245","6"
"327007","Frank L.","58.7816966","8"
"128445","Ray W.","58.3467369","6"
"327007","Min Z.","57.2282691","5"
"327007","Tony J.","56.606898099999995","6"
"128445","Vickie H.","56.358349700000005","6"
"128445","Li Y.","56.1719384","7"
"128445","Pengxiang Y.","56.0476642","7"
"128445","Hai Z.","55.6748416","5"
"128445","Yingxin S.","55.364156099999995","7"
"128445","Sandy S.","55.302019","6"
"327007","Jing W.","54.8049222","7"
"128445","Simon C.","54.4942367","6"
"327007","Junming Y.","54.307825400000006","6"
"128445","👅Bob C.","54.2456883","9"
"155681","Amyོ ..","54.059277","21"
"155681","Luka噜 Q.","53.99713990000001","9"
"128445","Steven H.","53.6864544","6"
"128445","Henry F.","53.5621802","6"
